평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,도서예산(자료구입비)
2023,LIBTYPE000002,2060147001,포항시립포은중앙도서관,경북,포항시,232004,14,20193,347571,189482
2023,LIBTYPE000002,2030122005,꿈꾸는마을도서관 도토리,대구,북구,19397,1,1435,1464,11500
2023,LIBTYPE000002,2060141270,성남시 책테마파크도서관,경기,성남시,8392,1,4123,22153,11437
2023,LIBTYPE000002,20601110008,양천구 영어특성화도서관,서울,양천구,66022,7,14576,277939,178470
2023,LIBTYPE000002,2060145032,완주군립 둔산영어도서관,전북,완주군,58612,1.5,1884,49526,27747
2023,LIBTYPE000002,2060141259,의왕시 포일어울림도서관,경기,의왕시,21974,2,6330,114580,52410
2023,LIBTYPE000002,2060145008,익산시립도서관 마동분관,전북,익산시,248992,3,5870,104598,112922
2023,LIBTYPE000002,2030111009,지샘터 올림픽공원도서관,서울,송파구,17205,2,2471,31133,9600
2023,LIBTYPE000002,2060141231,화성시 다원이음터도서관,경기,화성시,84959,6,16733,304347,85186
2023,LIBTYPE000002,2060141241,화성시 송린이음터도서관,경기,화성시,60851,4,8753,202273,99950
2023,LIBTYPE000002,20601110063,강남구립개포하늘꿈도서관,서울,강남구,26190,15,15457,207789,97387
2023,LIBTYPE000002,2060111006,강북청소년문화정보도서관,서울,강북구,46547,3,2431,23447,27812
2023,LIBTYPE000002,2060111058,강서구립우장산숲속도서관,서울,강서구,57020,5,11650,145694,72983
2023,LIBTYPE000002,2050124005,광주송정다가치문화도서관,광주,광산구,158391,7,2956,72827,95752
2023,LIBTYPE000002,2050124002,광주학생독립운동기념회관,광주,서구,238629,10,6870,155568,143370
2023,LIBTYPE000002,2060122012,대구광역시북구대현도서관,대구,북구,68085,4,5360,108742,76931
2023,LIBTYPE000002,2050121014,부산광역시립해운대도서관,부산,해운대구,233025,17,26323,525134,300000
2023,LIBTYPE000002,2060111073,서대문구립홍은도담도서관,서울,서대문구,47950,4,5495,52136,61126
2023,LIBTYPE000002,20601110062,서초구립방배숲환경도서관,서울,서초구,35085,11,8028,38293,500000
2023,LIBTYPE000002,20601110043,성동구립매봉산숲속도서관,서울,성동구,10694,3,3054,26302,24510
2023,LIBTYPE000002,20601110005,소나무언덕잠실본동도서관,서울,송파구,30163,2,20062,45543,21850
2023,LIBTYPE000002,2060141028,용인시구갈희망누리도서관,경기,용인시,45346,0.5,4485,71317,34513
2023,LIBTYPE000002,2050146004,전라남도교육청광양도서관,전남,광양시,49880,7,2897,69297,103620
2023,LIBTYPE000002,2050146008,전라남도교육청구례도서관,전남,구례군,49732,4,1312,40440,63500
2023,LIBTYPE000002,2050146002,전라남도교육청나주도서관,전남,나주시,286925,15,3815,158172,643200
2023,LIBTYPE000002,2050146003,전라남도교육청남평도서관,전남,나주시,80360,4,1369,43331,62634
2023,LIBTYPE000002,2050146006,전라남도교육청담양도서관,전남,담양군,114718,6,2187,92618,135248
2023,LIBTYPE000002,2050146001,전라남도교육청목포도서관,전남,목포시,271307,19,4190,146193,201500
2023,LIBTYPE000002,2050146015,전라남도교육청무안도서관,전남,무안군,91146,4,1095,31214,73020
